Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
CreateBlock 1557448880 | added to participant #1
StartDragBlock 1557448880 | added to participant #1
MoveBlock 1557448880 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1557448880 | added to participant #1
MoveBlock 1557448880 | added to participant #1
MoveBlock 1557448880 | added to participant #1
EndDragBlock 1557448880 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1999090638 | added to participant #1
StartDragBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
MoveBlock 1999090638 | added to participant #1
EndDragBlock 1999090638 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 2704357 | added to participant #1
StartDragBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MouseClick | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
MoveBlock 2704357 | added to participant #1
EndDragBlock 2704357 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 745099746 | added to participant #1
StartDragBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MouseClick | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
MoveBlock 745099746 | added to participant #1
EndDragBlock 745099746 | added to participant #1
MouseReleased | added to participant #1
NewTask 15 | added to participant #1
CreateBlock 252172114 | added to participant #1
StartDragBlock 252172114 | added to participant #1
MoveBlock 252172114 | added to participant #1
MouseClick | added to participant #1
MoveBlock 252172114 | added to participant #1
MoveBlock 252172114 | added to participant #1
MoveBlock 252172114 | added to participant #1
