Started Parsing raw log files
Number of files: 2
Opened Keyboard.log
NewTask 2 | added to current participant
CreateBlock 1557448880 | added to current participant
StartDragBlock 1557448880 | added to current participant
MouseClick | added to current participant
EndDragBlock 1557448880 | added to current participant
MouseReleased | added to current participant
CreateBlock 1999090638 | added to current participant
StartDragBlock 1999090638 | added to current participant
MouseClick | added to current participant
EndDragBlock 1999090638 | added to current participant
MouseReleased | added to current participant
CreateBlock 2704357 | added to current participant
StartDragBlock 2704357 | added to current participant
MouseClick | added to current participant
EndDragBlock 2704357 | added to current participant
MouseReleased | added to current participant
CreateBlock 745099746 | added to current participant
StartDragBlock 745099746 | added to current participant
MouseClick | added to current participant
EndDragBlock 745099746 | added to current participant
MouseReleased | added to current participant
NewTask 15 | added to current participant
CreateBlock 252172114 | added to current participant
StartDragBlock 252172114 | added to current participant
MouseClick | added to current participant
EndDragBlock 252172114 | added to current participant
MouseReleased | added to current participant
CreateBlock 229665572 | added to current participant
StartDragBlock 229665572 | added to current participant
MouseClick | added to current participant
EndDragBlock 229665572 | added to current participant
MouseReleased | added to current participant
CreateBlock 693907036 | added to current participant
StartDragBlock 693907036 | added to current participant
MouseClick | added to current participant
EndDragBlock 693907036 | added to current participant
MouseReleased | added to current participant
StartDragBlock 693907036 | added to current participant
MouseClick | added to current participant
EndDragBlock 693907036 | added to current participant
MouseReleased | added to current participant
CreateBlock 1268275182 | added to current participant
StartDragBlock 1268275182 | added to current participant
MouseClick | added to current participant
EndDragBlock 1268275182 | added to current participant
MouseReleased | added to current participant
StartDragBlock 252172114 | added to current participant
MouseClick | added to current participant
EndDragBlock 252172114 | added to current participant
MouseReleased | added to current participant
NewTask 12 | added to current participant
CreateBlock 1967337226 | added to current participant
StartDragBlock 1967337226 | added to current participant
MouseClick | added to current participant
EndDragBlock 1967337226 | added to current participant
MouseReleased | added to current participant
CreateBlock 514864285 | added to current participant
StartDragBlock 514864285 | added to current participant
MouseClick | added to current participant
EndDragBlock 514864285 | added to current participant
MouseReleased | added to current participant
CreateBlock 521436442 | added to current participant
StartDragBlock 521436442 | added to current participant
MouseClick | added to current participant
EndDragBlock 521436442 | added to current participant
MouseReleased | added to current participant
CreateBlock 1078316853 | added to current participant
StartDragBlock 1078316853 | added to current participant
MouseClick | added to current participant
EndDragBlock 1078316853 | added to current participant
MouseReleased | added to current participant
StartDragBlock 1967337226 | added to current participant
MouseClick | added to current participant
EndDragBlock 1967337226 | added to current participant
MouseReleased | added to current participant
NewTask 23 | added to current participant
CreateBlock 668289079 | added to current participant
StartDragBlock 668289079 | added to current participant
MouseClick | added to current participant
EndDragBlock 668289079 | added to current participant
MouseReleased | added to current participant
CreateBlock 626836922 | added to current participant
StartDragBlock 626836922 | added to current participant
MouseClick | added to current participant
EndDragBlock 626836922 | added to current participant
MouseReleased | added to current participant
CreateBlock 529033504 | added to current participant
StartDragBlock 529033504 | added to current participant
MouseClick | added to current participant
EndDragBlock 529033504 | added to current participant
MouseReleased | added to current participant
CreateBlock 750714109 | added to current participant
StartDragBlock 750714109 | added to current participant
MouseClick | added to current participant
EndDragBlock 750714109 | added to current participant
MouseReleased | added to current participant
CreateBlock 323996741 | added to current participant
StartDragBlock 323996741 | added to current participant
MouseClick | added to current participant
EndDragBlock 323996741 | added to current participant
MouseReleased | added to current participant
CreateBlock 719598710 | added to current participant
StartDragBlock 719598710 | added to current participant
MouseClick | added to current participant
EndDragBlock 719598710 | added to current participant
MouseReleased | added to current participant
MouseClick | added to current participant
CreateBlock 1123042802 | added to current participant
StartDragBlock 1123042802 | added to current participant
MouseClick | added to current participant
EndDragBlock 1123042802 | added to current participant
MouseReleased | added to current participant
CreateBlock 354729496 | added to current participant
StartDragBlock 354729496 | added to current participant
MouseClick | added to current participant
EndDragBlock 354729496 | added to current participant
MouseReleased | added to current participant
NewTask 27 | added to current participant
CreateBlock 1861613802 | added to current participant
StartDragBlock 1861613802 | added to current participant
MouseClick | added to current participant
EndDragBlock 1861613802 | added to current participant
MouseReleased | added to current participant
CreateBlock 1915276731 | added to current participant
StartDragBlock 1915276731 | added to current participant
MouseClick | added to current participant
EndDragBlock 1915276731 | added to current participant
MouseReleased | added to current participant
CreateBlock 1452504275 | added to current participant
StartDragBlock 1452504275 | added to current participant
MouseClick | added to current participant
EndDragBlock 1452504275 | added to current participant
MouseReleased | added to current participant
CreateBlock 1292770722 | added to current participant
StartDragBlock 1292770722 | added to current participant
MouseClick | added to current participant
EndDragBlock 1292770722 | added to current participant
MouseReleased | added to current participant
CreateBlock 1150646122 | added to current participant
StartDragBlock 1150646122 | added to current participant
MouseClick | added to current participant
EndDragBlock 1150646122 | added to current participant
MouseReleased | added to current participant
CreateBlock 1602614455 | added to current participant
StartDragBlock 1602614455 | added to current participant
MouseClick | added to current participant
EndDragBlock 1602614455 | added to current participant
MouseReleased | added to current participant
CreateBlock 1949440316 | added to current participant
StartDragBlock 1949440316 | added to current participant
MouseClick | added to current participant
EndDragBlock 1949440316 | added to current participant
MouseReleased | added to current participant
CreateBlock 609359335 | added to current participant
StartDragBlock 609359335 | added to current participant
MouseClick | added to current participant
EndDragBlock 609359335 | added to current participant
MouseReleased | added to current participant
NewTask 25 | added to current participant
CreateBlock 1407087523 | added to current participant
StartDragBlock 1407087523 | added to current participant
MouseClick | added to current participant
EndDragBlock 1407087523 | added to current participant
MouseReleased | added to current participant
CreateBlock 371570992 | added to current participant
StartDragBlock 371570992 | added to current participant
MouseClick | added to current participant
EndDragBlock 371570992 | added to current participant
MouseReleased | added to current participant
CreateBlock 1353625448 | added to current participant
StartDragBlock 1353625448 | added to current participant
MouseClick | added to current participant
EndDragBlock 1353625448 | added to current participant
MouseReleased | added to current participant
CreateBlock 728039227 | added to current participant
StartDragBlock 728039227 | added to current participant
MouseClick | added to current participant
EndDragBlock 728039227 | added to current participant
MouseReleased | added to current participant
CreateBlock 104392148 | added to current participant
StartDragBlock 104392148 | added to current participant
MouseClick | added to current participant
EndDragBlock 104392148 | added to current participant
MouseReleased | added to current participant
CreateBlock 531360588 | added to current participant
StartDragBlock 531360588 | added to current participant
MouseClick | added to current participant
EndDragBlock 531360588 | added to current participant
MouseReleased | added to current participant
CreateBlock 638838388 | added to current participant
StartDragBlock 638838388 | added to current participant
MouseClick | added to current participant
EndDragBlock 638838388 | added to current participant
MouseReleased | added to current participant
CreateBlock 417225282 | added to current participant
StartDragBlock 417225282 | added to current participant
MouseClick | added to current participant
EndDragBlock 417225282 | added to current participant
MouseReleased | added to current participant
StartDragBlock 417225282 | added to current participant
MouseClick | added to current participant
EndDragBlock 417225282 | added to current participant
MouseReleased | added to current participant
StartDragBlock 638838388 | added to current participant
MouseClick | added to current participant
EndDragBlock 638838388 | added to current participant
MouseReleased | added to current participant
NewTask 51 | added to current participant
CreateBlock 663226052 | added to current participant
StartDragBlock 663226052 | added to current participant
MouseClick | added to current participant
EndDragBlock 663226052 | added to current participant
MouseReleased | added to current participant
CreateBlock 1973547259 | added to current participant
StartDragBlock 1973547259 | added to current participant
MouseClick | added to current participant
EndDragBlock 1973547259 | added to current participant
MouseReleased | added to current participant
CreateBlock 525850964 | added to current participant
StartDragBlock 525850964 | added to current participant
MouseClick | added to current participant
EndDragBlock 525850964 | added to current participant
MouseReleased | added to current participant
CreateBlock 1497895052 | added to current participant
StartDragBlock 1497895052 | added to current participant
MouseClick | added to current participant
EndDragBlock 1497895052 | added to current participant
MouseReleased | added to current participant
CreateBlock 817774765 | added to current participant
StartDragBlock 817774765 | added to current participant
MouseClick | added to current participant
EndDragBlock 817774765 | added to current participant
MouseReleased | added to current participant
CreateBlock 1690923384 | added to current participant
StartDragBlock 1690923384 | added to current participant
MouseClick | added to current participant
EndDragBlock 1690923384 | added to current participant
MouseReleased | added to current participant
CreateBlock 1827331929 | added to current participant
StartDragBlock 1827331929 | added to current participant
MouseClick | added to current participant
EndDragBlock 1827331929 | added to current participant
MouseReleased | added to current participant
CreateBlock 309334921 | added to current participant
StartDragBlock 309334921 | added to current participant
MouseClick | added to current participant
EndDragBlock 309334921 | added to current participant
MouseReleased | added to current participant
CreateBlock 652364872 | added to current participant
StartDragBlock 652364872 | added to current participant
MouseClick | added to current participant
EndDragBlock 652364872 | added to current participant
MouseReleased | added to current participant
CreateBlock 901400531 | added to current participant
StartDragBlock 901400531 | added to current participant
MouseClick | added to current participant
EndDragBlock 901400531 | added to current participant
MouseReleased | added to current participant
CreateBlock 842799656 | added to current participant
StartDragBlock 842799656 | added to current participant
MouseClick | added to current participant
EndDragBlock 842799656 | added to current participant
MouseReleased | added to current participant
CreateBlock 1965708710 | added to current participant
StartDragBlock 1965708710 | added to current participant
MouseClick | added to current participant
EndDragBlock 1965708710 | added to current participant
MouseReleased | added to current participant
NewTask 54 | added to current participant
CreateBlock 346030769 | added to current participant
StartDragBlock 346030769 | added to current participant
MouseClick | added to current participant
EndDragBlock 346030769 | added to current participant
MouseReleased | added to current participant
CreateBlock 2112563194 | added to current participant
StartDragBlock 2112563194 | added to current participant
MouseClick | added to current participant
EndDragBlock 2112563194 | added to current participant
MouseReleased | added to current participant
CreateBlock 1043944424 | added to current participant
StartDragBlock 1043944424 | added to current participant
MouseClick | added to current participant
EndDragBlock 1043944424 | added to current participant
MouseReleased | added to current participant
CreateBlock 1025104996 | added to current participant
StartDragBlock 1025104996 | added to current participant
MouseClick | added to current participant
EndDragBlock 1025104996 | added to current participant
MouseReleased | added to current participant
CreateBlock 1692967183 | added to current participant
StartDragBlock 1692967183 | added to current participant
MouseClick | added to current participant
EndDragBlock 1692967183 | added to current participant
MouseReleased | added to current participant
CreateBlock 1397554341 | added to current participant
StartDragBlock 1397554341 | added to current participant
MouseClick | added to current participant
EndDragBlock 1397554341 | added to current participant
MouseReleased | added to current participant
CreateBlock 1771717627 | added to current participant
StartDragBlock 1771717627 | added to current participant
MouseClick | added to current participant
EndDragBlock 1771717627 | added to current participant
MouseReleased | added to current participant
CreateBlock 1867965524 | added to current participant
StartDragBlock 1867965524 | added to current participant
MouseClick | added to current participant
EndDragBlock 1867965524 | added to current participant
MouseReleased | added to current participant
CreateBlock 761606185 | added to current participant
StartDragBlock 761606185 | added to current participant
MouseClick | added to current participant
EndDragBlock 761606185 | added to current participant
MouseReleased | added to current participant
CreateBlock 944367934 | added to current participant
StartDragBlock 944367934 | added to current participant
MouseClick | added to current participant
EndDragBlock 944367934 | added to current participant
MouseReleased | added to current participant
CreateBlock 287182059 | added to current participant
StartDragBlock 287182059 | added to current participant
MouseClick | added to current participant
EndDragBlock 287182059 | added to current participant
MouseReleased | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
KeyPressRight | added to current participant
StartDragBlock 761606185 | added to current participant
MouseClick | added to current participant
EndDragBlock 761606185 | added to current participant
MouseReleased | added to current participant
StartDragBlock 761606185 | added to current participant
MouseClick | added to current participant
EndDragBlock 761606185 | added to current participant
MouseReleased | added to current participant
CreateBlock 1123627503 | added to current participant
StartDragBlock 1123627503 | added to current participant
MouseClick | added to current participant
EndDragBlock 1123627503 | added to current participant
MouseReleased | added to current participant
NewTask 52 | added to current participant
CreateBlock 926672832 | added to current participant
StartDragBlock 926672832 | added to current participant
MouseClick | added to current participant
EndDragBlock 926672832 | added to current participant
MouseReleased | added to current participant
CreateBlock 1403689550 | added to current participant
StartDragBlock 1403689550 | added to current participant
MouseClick | added to current participant
EndDragBlock 1403689550 | added to current participant
MouseReleased | added to current participant
CreateBlock 651594350 | added to current participant
StartDragBlock 651594350 | added to current participant
MouseClick | added to current participant
EndDragBlock 651594350 | added to current participant
MouseReleased | added to current participant
CreateBlock 1214582637 | added to current participant
StartDragBlock 1214582637 | added to current participant
MouseClick | added to current participant
EndDragBlock 1214582637 | added to current participant
MouseReleased | added to current participant
CreateBlock 703418892 | added to current participant
StartDragBlock 703418892 | added to current participant
MouseClick | added to current participant
EndDragBlock 703418892 | added to current participant
MouseReleased | added to current participant
CreateBlock 918296398 | added to current participant
StartDragBlock 918296398 | added to current participant
MouseClick | added to current participant
EndDragBlock 918296398 | added to current participant
MouseReleased | added to current participant
CreateBlock 1916796804 | added to current participant
StartDragBlock 1916796804 | added to current participant
MouseClick | added to current participant
EndDragBlock 1916796804 | added to current participant
MouseReleased | added to current participant
CreateBlock 1971497679 | added to current participant
StartDragBlock 1971497679 | added to current participant
MouseClick | added to current participant
EndDragBlock 1971497679 | added to current participant
MouseReleased | added to current participant
CreateBlock 1193034305 | added to current participant
StartDragBlock 1193034305 | added to current participant
MouseClick | added to current participant
EndDragBlock 1193034305 | added to current participant
MouseReleased | added to current participant
MouseClick | added to current participant
CreateBlock 382789952 | added to current participant
StartDragBlock 382789952 | added to current participant
MouseClick | added to current participant
EndDragBlock 382789952 | added to current participant
MouseReleased | added to current participant
CreateBlock 2044438336 | added to current participant
StartDragBlock 2044438336 | added to current participant
MouseClick | added to current participant
EndDragBlock 2044438336 | added to current participant
MouseReleased | added to current participant
CreateBlock 1530157952 | added to current participant
StartDragBlock 1530157952 | added to current participant
MouseClick | added to current participant
Opened Leap.log
NewTask 1 | added to current participant
CreateBlock 881639705 | added to current participant
StartDragBlock 881639705 | added to current participant
DeleteBlock 881639705 | added to current participant
EndDragBlock 881639705 | added to current participant
CreateBlock 733217929 | added to current participant
StartDragBlock 733217929 | added to current participant
EndDragBlock 733217929 | added to current participant
CreateBlock 965689127 | added to current participant
StartDragBlock 965689127 | added to current participant
EndDragBlock 965689127 | added to current participant
CreateBlock 367872691 | added to current participant
StartDragBlock 367872691 | added to current participant
EndDragBlock 367872691 | added to current participant
StartDragBlock 367872691 | added to current participant
EndDragBlock 367872691 | added to current participant
StartDragBlock 367872691 | added to current participant
EndDragBlock 367872691 | added to current participant
CreateBlock 1658051055 | added to current participant
StartDragBlock 1658051055 | added to current participant
EndDragBlock 1658051055 | added to current participant
StartDragBlock 1658051055 | added to current participant
EndDragBlock 1658051055 | added to current participant
StartDragBlock 1658051055 | added to current participant
EndDragBlock 1658051055 | added to current participant
StartDragBlock 1658051055 | added to current participant
EndDragBlock 1658051055 | added to current participant
NewTask 17 | added to current participant
CreateBlock 1797952629 | added to current participant
StartDragBlock 1797952629 | added to current participant
EndDragBlock 1797952629 | added to current participant
CreateBlock 1380008161 | added to current participant
StartDragBlock 1380008161 | added to current participant
EndDragBlock 1380008161 | added to current participant
CreateBlock 1284577352 | added to current participant
StartDragBlock 1284577352 | added to current participant
EndDragBlock 1284577352 | added to current participant
CreateBlock 1812407621 | added to current participant
StartDragBlock 1812407621 | added to current participant
EndDragBlock 1812407621 | added to current participant
StartDragBlock 1812407621 | added to current participant
EndDragBlock 1812407621 | added to current participant
