id,keyboard_accuracy,keyboard_speed_task_1,keyboard_speed_task_2,keyboard_speed_task_3,keyboard_distance,keyboard_block_moves,keyboard_horizontal_rotations,keyboard_vertical_rotations,leap_accuracy,leap_speed_task_1,leap_speed_task_2,leap_speed_task_3,leap_distance,leap_block_moves,leap_horizontal_rotations,leap_vertical_rotations
1,1.0,8047,5335,5465,9304.193408261432,0,0,0,0.1189710610932476,299906,300034,299999,1792354.0379096905,6,41,0
10,1.0,8433,7497,10272,9214.39624227727,1,0,0,0.358695652173913,41317,139300,46159,35783.21916066951,16,23,0
11,1.0,77415,13033,9966,20234.082352243993,12,0,0,0.1953125,43216,38938,300010,183230.50243818146,10,16,2
12,1.0,12441,8834,6199,9829.231243323504,0,0,0,0.23461538461538461,299847,300505,299486,657880.2633059524,12,12,34
13,1.0,11621,5568,4099,10238.142207796958,0,0,5,0.14742014742014742,299873,300033,228468,3053864.35600705,17,19,18
14,1.0,6928,14667,7100,12835.210297449701,0,0,0,0.1896551724137931,132238,67333,99934,326754.85099062003,13,11,0
15,0.9230769230769231,7911,5167,4933,10996.979204234787,0,0,0,0.2356164383561644,299839,300008,299980,912179.6401035523,58,9,134
16,1.0,6836,8201,12800,12113.90867245583,4,0,0,0.1718213058419244,177414,300032,295900,1398663.637800798,25,93,3
2,0.9333333333333333,12779,8587,5713,15384.105569810079,2,0,0,0.14566929133858267,263377,300033,295533,1354981.5949117835,16,33,0
3,1.0,7155,7710,7366,13089.138095255752,0,0,0,0.11695906432748537,299909,219900,300001,1420614.5952162216,7,23,9
4,1.0,5372,4933,5800,9946.51355199279,0,0,0,0.37254901960784315,299909,300034,297900,7302029.928688328,1,0,0
5,1.0,13132,9371,9562,9184.230989191225,0,0,0,0.24203821656050956,210481,267922,226820,788411.2410489264,51,45,0
6,1.0,9218,6564,12515,11119.311081444743,1,1,23,0.2222222222222222,236289,80381,176799,289562.7749437408,24,69,4
7,1.0,11066,5875,7388,8651.6228009851,0,0,0,0.28735632183908044,74986,31565,22353,29405.328573893014,13,48,0
8,1.0,9711,12341,9639,9144.161956811267,0,0,0,0.3055555555555556,155009,92100,54751,259443.91121406385,25,0,0
9,1.0,9318,8683,7648,8777.298962926805,0,0,0,0.45098039215686275,223338,61556,84365,327482.9077276492,17,6,0
